htid,year,type,description,rights
nc01.ark:/13960/t77s9890k,1928,directors,1st(1928),pd
umn.319510012960972,1931,directors,1931,ic
umn.319510012960980,1932,directors,1932,ic
uiug.30112089441700,1940,combined,1940,ic
umn.31951001296105t,1940,directors,1940,ic
umn.31951001296109l,1944,directors,1944,ic
uiug.30112089441734,1946,combined,1946,ic
uiug.30112048863952,1948,combined,1948,ic
uiug.30112089441742,1949,combined,1949,ic
uc1.c2583483,1953,directors,1953,ic
uiug.30112089441759,1953,combined,1953,ic
uiug.30112089441767,1954,combined,1954,ic
umn.31951001296118k,1954,directors,1954,ic
uiug.30112089441775,1955,combined,1955,ic
uc1.c2583485,1956,directors,1956,ic
mdp.35128000533305,1957,directors,1957 pt.1,ic
mdp.35128001340718,1957,directors,1957 pt.2,ic
uc1.c2583486,1957,directors,1957,ic
uiug.30112089441783,1957,combined,1957,ic
uiug.30112089441791,1958,combined,1958,ic
uiug.30112103564040,1960,combined,1960,ic
umn.31951001296125n,1961,directors,1961,ic
uiug.30112043425070,1962,combined,1962,ic
uiug.30112043425088,1963,combined,1963,ic
umn.31951001296144j,1963,combined,1963,ic
mdp.35128000533578,1978,directors,1978 v.2,ic
mdp.35128000533602,1979,directors,1979 v.2,ic
uva.x002194695,1993,directors,1993 v.2,ic
uva.x002082753,1995,directors,1995 v.2,ic
uc1.31822017457730,1997,directors,1997 no.2,ic
uc1.31822025410648,1998,directors,1998 no.2,ic
uva.x004118813,1998,directors,1998 v.2,ic
uc1.31822022953947,1999,directors,1999 no.2,ic
uva.x004278694,1999,directors,1999 v.2,ic
uc1.31822022955595,2000,directors,2000 no.2,ic
uc1.31822022977102,2001,directors,2001 no.2,ic
uc1.31822025447525,2002,directors,2002 no.2,ic
uc1.31822032742512,2003,directors,2003 no.2,ic
pst.000058045237,9999,directors,v.2,und
